"Table 208.40. Public elementary and secondary teachers, enrollment, and pupil/teacher ratios, by state or jurisdiction: Selected years, fall 2000 through fall 2016",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26
State or jurisdiction,Pupil/teacher ratio,NA,NA,NA,NA,NA,NA,NA,Fall 2014,NA,NA,NA,NA,Fall 2015,NA,NA,NA,NA,NA,Fall 2016,NA,NA,NA,NA,NA
NA,Fall 2000,NA,Fall 2005,NA,Fall 2010,NA,Fall 2013,NA,Teachers,NA,Enrollment,"Pupil/
teacher ratio",NA,Teachers,NA,Enrollment,NA,"Pupil/
teacher ratio",NA,Teachers,NA,Enrollment,NA,"Pupil/
teacher ratio",NA
1,2,NA,3,NA,4,NA,5,NA,6,NA,7,8,NA,9,NA,10,NA,11,NA,12,NA,13,NA,14,NA
United States ...............,16.047652446962829,\1\,15.626233255265744,\1\,15.967301947993713,\1\,16.072033328663743,\1\,3132351.0700000003,\1\,50312581,16.062242027040728,\1\,3151496.7141999998,\1\,50438043,\1\,16.004472659843334,\1\,3169498.9600000004,\1\,50615189,\1\,15.969460674629783,\1\
Alabama ..........................,15.354315024152184,\2\,12.842789618574372,NA,15.305964519346784,NA,15.822222109136279,NA,42736.790000000001,NA,744164,17.412725663298531,NA,40766.220000000001,NA,743789,NA,18.24522852498956,NA,42532.949999999997,NA,744930,NA,17.514186060454307,NA
Alaska .........................,16.922491244099284,NA,16.846309403437814,NA,16.168133708008188,NA,16.578841415704218,NA,7759.0799999999999,NA,131176,16.906128046108559,NA,7832.1499999999996,NA,132477,NA,16.914512617863551,NA,7824.9099999999999,NA,132737,NA,16.963389994261917,NA
Arizona ......................,19.750846115071649,NA,21.302826222360636,NA,21.421901227688167,NA,22.797228132335153,NA,48124.480000000003,NA,1111695,23.100405448536794,NA,47943.559999999998,NA,1109040,NA,23.132199611376379,NA,48220.080000000002,NA,1123137,NA,23.291894165252316,NA
Arkansas ........................,14.084369933077495,NA,14.371185259265994,NA,14.066956887094138,NA,14.02623418975274,NA,35430.040000000001,NA,490917,13.855953874170055,NA,35803.869999999995,NA,492132,NA,13.745218044864984,NA,35730.300000000003,NA,493447,NA,13.810323450964587,NA
California ......................,20.605278681329594,\2\,20.81741273259988,\2\,24.115897507077094,\2\,24.325557437466042,\2\,267685.03000000003,\2\,6312161,23.580552860950046,\2\,263474.93000000005,NA,6305347,\2\,23.931487523310089,\2\,271287.08000000007,\2\,6309138,\2\,23.256315781791002,\2\
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colorado .......................,17.257011104388877,NA,17.011539887873301,NA,17.372559869097472,NA,17.484951361076419,NA,51388.050000000003,NA,889006,17.299858624719171,NA,51798.129999999997,NA,899112,NA,17.358001147917889,NA,52014.130000000005,NA,905019,NA,17.399483563408634,NA
Connecticut .....................,13.696850240227656,NA,14.489858139945071,NA,13.05070685721696,NA,12.572770491233472,NA,42061.939999999995,NA,542678,12.901877564372924,NA,43772.310000000005,NA,537933,NA,12.289344565091492,NA,42343.199999999997,NA,535118,NA,12.637637212114342,NA
Delaware .......................,15.352772645727905,NA,15.120905226306578,NA,14.485950968319713,NA,14.027072685943635,NA,9648.75,NA,134042,13.8921621971758,NA,8961.7099999999991,NA,134847,NA,15.047016696590273,NA,9208.2000000000007,NA,136264,NA,14.798114723833104,NA
District of Columbia ...........,13.925930415807978,NA,14.025907681080096,\3\,12.030384805572011,NA,13.044131367636774,NA,6565.3000000000002,NA,80958,12.331195832635219,NA,6789.0900000000001,NA,84024,NA,12.376327313380733,NA,6726.9900000000007,NA,85850,NA,12.762022836365148,NA
Florida ........................,18.441366533767983,NA,16.828072117864647,NA,15.052432590553725,NA,15.297694952916228,NA,180442.27000000002,NA,2756944,15.278814659115072,NA,182586.26999999999,NA,2792234,NA,15.29268328883656,NA,186339.09999999998,NA,2816791,NA,15.11647850612137,NA
