State,Ratio
United States ,15.969460674629783
Alabama ,17.514186060454307
Alaska ,16.963389994261917
Arizona ,23.291894165252316
Arkansas ,13.810323450964587
California ,23.256315781791002
Colorado ,17.399483563408634
Connecticut ,12.637637212114342
Delaware ,14.798114723833104
District of Columbia ,12.762022836365148
Florida ,15.11647850612137
Georgia ,15.37388955451476
Hawaii ,15.409543307140078
Idaho ,18.341263522979038
Illinois ,15.723982207626873
Indiana ,17.445454852203969
Iowa ,14.237891825411277
Kansas ,13.658541302590953
Kentucky ,16.274982309724248
Louisiana ,14.796959683623328
Maine ,12.238018725296776
Maryland ,14.843762300417094
Massachusetts ,13.319617571641794
Michigan ,18.286099671328547
Minnesota ,15.428512688280641
Mississippi ,15.134154103684697
Missouri ,13.471084734129953
Montana ,13.867598657720663
Nebraska ,13.51894848387564
Nevada ,19.98526028837356
New Hampshire ,12.255616683378953
New Jersey ,12.18729161955582
New Mexico ,15.764037537820506
New York ,13.051680144867369
North Carolina ,15.466653681849293
North Dakota ,11.840523242636506
Ohio ,16.668031186689923
Oklahoma ,16.887529152704317
Oregon ,20.374976979401776
Pennsylvania ,14.096049957630179
Rhode Island ,13.299041795384676
South Carolina ,15.185255191043799
South Dakota ,13.940858081487876
Tennessee ,15.583589931897004
Texas ,15.194766481379396
Utah ,22.877006285792945
Vermont ,10.801593341289454
Virginia ,14.046272967156831
Washington ,18.731717120400873
West Virginia,14.148179911346235
Wisconsin ,14.648686030663155
Wyoming ,12.546548266972215
