country_code,region,NY.GDP.PCAP.CD,SP.POP.TOTL,SE.ADT.LITR.ZS,SE.XPD.TOTL.GD.ZS,SE.SEC.NENR.MA,SE.SEC.NENR.FE
ARB,Aggregates,6400.36035038446,396028278,73.4993896484375,NA,64.23228,59.82032
WLD,Aggregates,10249.0914046286,7338964954,85.5423202514648,4.6243200302124,65.66595,65.76561
EAP,Aggregates,6522.74911529277,2038190036,95.4092330932617,NA,76.79223,80.49991
ECA,Aggregates,7472.89501961602,390295673,98.8784637451172,3.81152498722077,89.29321,88.72278
SAS,Aggregates,1541.80369867426,1749417068,69.6573486328125,2.95290994644165,58.35437,58.25063
AND,Europe & Central Asia,35762.523073758,78011,NA,3.28034996986389,NA,NA
ARE,Middle East & North Africa,38663.3838066363,9262900,93.2271423339844,NA,NA,NA
AFG,South Asia,578.466352941708,34413603,NA,3.2558000087738,57.33934,32.92914
ATG,Latin America & Caribbean,14286.0931598293,93566,98.9499969482422,NA,84.3983,87.63587
ALB,Europe & Central Asia,3952.80121524465,2880703,NA,3.43796992301941,86.97802,87.83338
ARM,Europe & Central Asia,3607.29669672271,2925553,NA,2.80591011047363,NA,NA
AGO,Sub-Saharan Africa,4166.97968386501,27884381,NA,NA,NA,NA
ARG,Latin America & Caribbean,13789.060424772,43131966,99.1799621582031,5.77611017227173,86.0714,90.89313
ASM,East Asia & Pacific,11843.3311832581,55812,NA,NA,NA,NA
AUT,Europe & Central Asia,44178.0473777432,8642699,NA,5.45658016204834,86.43909,86.99795
AUS,East Asia & Pacific,56755.7217124249,23815995,NA,5.31127023696899,92.86773,93.62816
ABW,Latin America & Caribbean,27980.8806952751,104341,NA,5.97570991516113,NA,NA
AZE,Europe & Central Asia,5500.31038244408,9649341,99.7880630493164,2.95167994499207,NA,NA
CEB,Aggregates,12513.2018363306,103257886,98.9777297973633,4.81226015090942,89.41846,90.22955
BIH,Europe & Central Asia,4727.27771157479,3429361,NA,NA,NA,NA
BRB,Latin America & Caribbean,16525.0732500596,285324,NA,NA,NA,NA
BGD,South Asia,1248.45339778371,156256276,65.1373291015625,NA,55.32819,63.11644
BEL,Europe & Central Asia,40991.8081381432,11274196,NA,6.4515700340271,93.23908,94.08609
BFA,Sub-Saharan Africa,653.32697954543,18110624,NA,3.67008996009827,27.12727,25.91824
BGR,Europe & Central Asia,7055.93567291245,7177991,NA,NA,92.47634,89.90543
BHR,Middle East & North Africa,22634.118645445,1371851,NA,2.66808009147644,90.90495,91.29455
BDI,Sub-Saharan Africa,305.549772797441,10160030,NA,6.37054014205933,27.74832,30.04619
BEN,Sub-Saharan Africa,1076.79771601166,10575952,NA,3.17298007011414,53.18202,39.81058
BMU,North America,102005.62564189,65237,NA,1.69860005378723,NA,NA
BRN,East Asia & Pacific,31164.5620291141,414907,NA,NA,83.30269,86.98323
BOL,Latin America & Caribbean,3035.97221350817,10869730,92.455078125,NA,76.16133,77.23552
BRA,Latin America & Caribbean,8814.00098681261,204471769,92.0478973388672,6.24105978012085,79.82942,83.63342
BHS,Latin America & Caribbean,31295.0620781067,374206,NA,NA,57.82323,59.99897
BTN,South Asia,2752.66420790266,727876,NA,7.59009981155396,59.63237,67.91664
BWA,Sub-Saharan Africa,6799.87017783413,2120716,NA,NA,NA,NA
BLR,Europe & Central Asia,5949.10630699748,9489616,NA,4.78751993179321,97.91342,99.13601
BLZ,Latin America & Caribbean,4775.95564827821,360933,NA,6.8888897895813,67.77098,71.03463
CAN,North America,43585.5119817751,35702908,NA,NA,92.31806,92.51468
COD,Sub-Saharan Africa,497.316960805476,76244544,NA,2.17043995857239,NA,NA
CAF,Sub-Saharan Africa,377.423001679447,4493170,NA,NA,NA,NA
COG,Sub-Saharan Africa,2461.49416964392,4856095,NA,4.56147003173828,NA,NA
CHE,Europe & Central Asia,82081.5971616165,8282396,NA,5.10057020187378,86.16997,84.0442
CIV,Sub-Saharan Africa,1972.54610769746,23226143,NA,3.49415993690491,NA,NA
CHL,Latin America & Caribbean,13574.171830724,17969353,96.8741302490234,4.87530994415283,87.65744,90.32174
CMR,Sub-Saharan Africa,1327.50301711492,23298368,NA,2.76804995536804,47.94571,42.05413
CHN,East Asia & Pacific,8066.94263493557,1371220000,NA,NA,NA,NA
COL,Latin America & Caribbean,6175.87602970259,47520667,94.2450485229492,4.47038984298706,72.78667,78.53982
CRI,Latin America & Caribbean,11299.1355423011,4847804,NA,7.0825400352478,78.73094,81.99878
CUB,Latin America & Caribbean,7694.0119195241,11324781,NA,NA,81.57603,85.6546
CPV,Sub-Saharan Africa,3043.01398430098,524743,86.7902908325195,5.26691007614136,67.71739,75.85656
CUW,Latin America & Caribbean,19951.3279030441,157980,NA,NA,NA,NA
CYP,Europe & Central Asia,23333.7149112129,1160985,NA,6.346360206604,94.17951,95.10285
CZE,Europe & Central Asia,17829.6983223668,10546059,NA,5.78884983062744,89.21127,91.17041
DEU,Europe & Central Asia,41086.7296737253,81686611,NA,4.83498001098633,86.1748,86.06816
DJI,Middle East & North Africa,2658.97875260181,913993,NA,3.59024000167847,38.26583,37.27547
DNK,Europe & Central Asia,53254.8563700916,5683483,NA,NA,87.62704,91.278
DMA,Latin America & Caribbean,7596.43506226258,71183,NA,3.40858006477356,80.0335,81.9211
DOM,Latin America & Caribbean,6921.51722848184,10281680,91.9912109375,NA,63.44083,72.32872
DZA,Middle East & North Africa,4187.50972747204,39728025,NA,NA,NA,NA
ECU,Latin America & Caribbean,6124.49164262072,16212020,94.4556579589844,4.99870014190674,83.53411,85.96723
EST,Europe & Central Asia,17522.230186252,1315407,NA,5.10685014724731,93.14593,94.54082
EGY,Middle East & North Africa,3562.93273506849,92442547,NA,NA,NA,NA
ERI,Sub-Saharan Africa,NA,NA,NA,NA,45.58732,39.88844
ESP,Europe & Central Asia,25732.0183647454,46444832,98.1432571411133,4.28657007217407,92.28014,93.28815
ETH,Sub-Saharan Africa,640.541891313682,100835458,NA,4.73791980743408,31.30377,30.3126
EUU,Aggregates,30469.6243901071,444543759,NA,4.8975350856781,90.75532,91.66879
FCS,Aggregates,2364.24769660877,730424930,62.1488914489746,NA,40.37925,32.57299
FIN,Europe & Central Asia,42784.6983616432,5479531,NA,7.03208017349243,94.86993,95.67699
FJI,East Asia & Pacific,5390.74525792812,868627,NA,NA,NA,NA
FSM,East Asia & Pacific,2906.37678497635,108895,NA,12.407919883728,NA,NA
FRO,Europe & Central Asia,52404.6593331379,48051,NA,NA,NA,NA
FRA,Europe & Central Asia,36638.184929157,66548272,NA,NA,92.83807,94.36077
GAB,Sub-Saharan Africa,7384.71587003183,1947686,NA,NA,NA,NA
GBR,Europe & Central Asia,44974.8318771782,65116219,NA,5.55615997314453,97.82696,98.45768
GRD,Latin America & Caribbean,9096.87064595412,109599,NA,NA,94.53901,96.56098
GEO,Europe & Central Asia,4014.18594419329,3725276,NA,NA,89.98148,92.79255
GHA,Sub-Saharan Africa,1743.8509964087,27849205,NA,4.51089000701904,56.13594,55.00608
GIB,Europe & Central Asia,NA,33736,NA,NA,NA,NA
GRL,Europe & Central Asia,44536.4013080999,56114,NA,NA,NA,NA
GMB,Sub-Saharan Africa,660.723571244322,2085860,50.7779693603516,2.16002988815308,NA,NA
GIN,Sub-Saharan Africa,769.256013746016,11432088,NA,2.51713991165161,NA,NA
GNQ,Sub-Saharan Africa,11283.46560612,1168568,NA,NA,NA,NA
GRC,Europe & Central Asia,18167.7737271656,10820883,NA,NA,93.23653,91.72493
GTM,Latin America & Caribbean,3994.63691288475,15567419,NA,3.03032994270325,45.31998,42.89968
GUM,East Asia & Pacific,35278.9259389693,161853,NA,NA,NA,NA
GNB,Sub-Saharan Africa,603.401118246693,1737202,NA,NA,NA,NA
GUY,Latin America & Caribbean,5576.83333734239,767432,NA,5.21482992172241,NA,NA
HKG,East Asia & Pacific,42431.8882817277,7291300,NA,3.26212000846863,88.66643,89.9948
HND,Latin America & Caribbean,2302.20137936204,9112916,87.9068298339844,6.41297006607056,37.41452,44.33387
HRV,Europe & Central Asia,11781.7347932429,4203604,NA,NA,90.52512,94.04569
HTI,Latin America & Caribbean,1389.11951950807,10695542,NA,3.15722990036011,NA,NA
HUN,Europe & Central Asia,12706.8912148924,9843028,NA,4.51866006851196,88.9433,89.33125
IDN,East Asia & Pacific,3331.69512758628,258383256,95.2179336547852,3.58360004425049,75.28854,76.28108
IRL,Europe & Central Asia,61995.4228025802,4701957,NA,3.75829005241394,NA,NA
ISR,Middle East & North Africa,35776.7951618068,8380100,NA,5.86730003356934,98.03686,100
IMN,Europe & Central Asia,85124.9249839193,83234,NA,NA,NA,NA
IND,South Asia,1605.60543355488,1310152403,NA,NA,NA,NA
IRQ,Middle East & North Africa,4989.80307473071,35572261,NA,NA,NA,NA
IRN,Middle East & North Africa,4904.32687747976,78492215,NA,2.79738998413086,NA,NA
ISL,Europe & Central Asia,52564.4291794558,330815,NA,7.51290988922119,88.90719,90.59733
ITA,Europe & Central Asia,30230.2263021296,60730582,NA,4.07362985610962,94.80252,96.36458
CHI,Europe & Central Asia,NA,165385,NA,NA,NA,NA
JAM,Latin America & Caribbean,4907.50371974316,2891021,NA,5.45577001571655,68.27336,75.65635
JOR,Middle East & North Africa,4164.1078763551,9266575,NA,NA,NA,NA
JPN,East Asia & Pacific,34524.4698609337,127141000,NA,NA,NA,NA
KEN,Sub-Saharan Africa,1336.88334885603,47878336,NA,5.27133989334106,NA,NA
KGZ,Europe & Central Asia,1121.08283510739,5956900,NA,5.98550987243652,80.3053,80.74089
KHM,East Asia & Pacific,1162.90491997151,15521436,80.5264892578125,NA,NA,NA
KIR,East Asia & Pacific,1542.5752495838,110930,NA,NA,NA,NA
COM,Sub-Saharan Africa,1242.6031895579,777424,NA,2.5450599193573,NA,NA
KNA,Latin America & Caribbean,18028.9734308952,51204,NA,2.6434600353241,98.67617,98.0873
PRK,East Asia & Pacific,NA,25183833,NA,NA,NA,NA
KOR,East Asia & Pacific,28732.2310762599,51014947,NA,NA,97.91916,97.47823
KWT,Middle East & North Africa,29869.5293908248,3835591,95.6854476928711,NA,84.50138,88.71225
CYM,Latin America & Caribbean,76280.4866192809,61724,NA,NA,NA,NA
KAZ,Europe & Central Asia,10510.7718884149,17542806,NA,2.7885799407959,NA,NA
LAO,East Asia & Pacific,2134.71179567796,6741164,84.6610412597656,NA,56.81232,54.81054
LBN,Middle East & North Africa,7644.54865718212,6532678,NA,NA,NA,NA
LCA,Latin America & Caribbean,10093.8997626748,179126,NA,3.86772990226746,81.5955,79.99464
LIE,Europe & Central Asia,167290.939983907,37470,NA,NA,98.95251,84.22865
